ARGUMENT,TYPE 
"Therefore, considering the nature of offence, applicant can be released on bail by imposing certain terms and conditions.",CONCLUSION
With this I proceed to pass the following order.,CONCLUSION
"2] It is the case of prosecution that, 22/09/2018 accused nos.1 and 2 have been arrested by the police of Anti­Narcotic Cell in Kondhwa Police Station in CR no.821/2018 for possessing 2 Kg.",PREMISE
174 Gram Ganja along with mobile hand set of Samsung Make and cash amount.,PREMISE
"Hence, on the complaint of Pravin Shirke, API of Anti­Narcotic Cell, Pune, this offence was registered.",PREMISE
"3] Advocate for the applicant in his argument stated that if the total quantity of seized Ganja is divided into two accused, the quantity of Ganja allegedly possessed by each accused is more than small quantity but less than commercial quantity.",PREMISE
"Therefore, bar under section 37 of NDPS Act is not attracted.",PREMISE
"In this context, reliance is placeed on unreported judgment of Bombay High Court in Cri.",PREMISE
"Investigation almost completed, only CA report is awaited.",PREMISE
"Therefore, further detention of the applicant is not necessary.",PREMISE
"Hence, she may be relesaed on bail.",CONCLUSION
4] Ld. APP strongly opposed this application.,PREMISE
It is his contention that investigation is not yet completed.,PREMISE
Offence is serious.,PREMISE
It is committed against soceity.,PREMISE
That stock of Ganja was found possesed with an intention to sell it.,PREMISE
"If this applicant will be released on bail, she will flee away from justice and there is possibility of tampering the prosecution witnesses and evidence.",PREMISE
"Hence, this application may be rejected.",CONCLUSION
"5] In above stated unreported judgment of Hon'ble High Court Bench at Aurangabad, the quantity of Ganja involved in that case was 10.572 kg.",PREMISE
"Therefore, Hon'ble High Court observed that it is less than commercial quantity, therefore, there is no bar under section 37 of NDPS Act.",PREMISE
"Hence, Hon'ble High Court released the applicant on bail.",PREMISE
"The ratio laid down in that case is squarely applicable to the present case as the quantity involved is less than commercial quantity, therefore there is no bar under section 37 of NDPS Act.",PREMISE
Custodial interrogation of the applicant is already over.,PREMISE
Further detention of the applicant is not necessary.,PREMISE
"Hence, I pass the following order.",CONCLUSION
"Prosecution case is that on 22/11/2018, original complainant­Umesh More lodged report with Anti­Corruption Bureau, Pune, alleging in that accused­Rohit Shende made demand of bribe amount of Rs. 2 crore, for getting decision from present applicant/accused­Dy.",PREMISE
"Director of Land Records in respect of CTS appeal No.4375/2018 and in negotiations, the applicant/accused agreed to accept bribe amount of Rs.1,70,00,000/­, and thereby ACB, Pune by following due procedure, caught accused­Rohit Shende while accepting bribe amount.",PREMISE
"Moreover, as per prosecution case, present applicant/accused and arrested accused­Rohit Shende hatched conspiracy and accused­Rohit Shende was arrested while accepting bribe amount.",PREMISE
"Learned counsel for applicant/accused submitted that applicant­accused has not committed any offence, he has been falsely implicated in this crime.",PREMISE
"He further submitted that applicant/accused never met to Umesh More, never demanded amount of bribe to him.",PREMISE
"He further submitted that present applicant/accused was not present on scene of offence when ACB, Pune arrested to accused­Rohit Shende.",PREMISE
"He further submitted that Investigating officer has already 2 recorded statement of present applicant/accused, therefore, his custodial interrogation is not necessary.",PREMISE
"He further submitted applicant/accused has discharged his official duties relating to the case in­question and passed appropriate order on merit, therefore, no any investigation can be carried out against him without previous approval as required u/s. 17­A of Prevention of Corruption Act.",PREMISE
He further submitted that alleged telephonic conversations are much before incident and those cannot be considered as legal evidence to implicate applicant/accused.,PREMISE
Investigating officer with malafide intention added name of present applicant/accused in alleged crime without any sufficient evidence.,PREMISE
He further submitted that applicant/accused is suffering from heart disease and he was admitted in Sassoon hospital and thereafter to Jahangir Hospital in ICU.,PREMISE
"He further submitted that as custodial interrogation of present applicant/accused is not necessary, therefore, he be released on anticipatory bail.",PREMISE
"In support of his submission, learned advocate of applicant/accused has relied on the rulings 1)Sanjay Awasthi Vs. State of Uttar Pradesh and another ( 2015 DGLS (SC) 1300, 2) Chenna Boyanna Krishna Yadav Vs. State of Maharashtra and another ( 2006 DGLS (SC) 1135) 3)Shobhan Singh Khanka Vs. The State of Jharkhand (2012 DGLS (SC) 178) 4) Sanjay R. Chavan Vs. Dattatray G. Phalke and others ( 2015 (DGLS) 69).",PREMISE
"On the other hand, learned APP submitted that accused­ Rohit Shende and present applicant/accused hatched conspiracy, and thereafter, the accused­ Rohit Shende was caught raid handed while accepting bribe amount.",PREMISE
"He further submitted that during the period September 2018 to 26th December 2018, there were 477 mobile calls and 129 message took place between arrested accused and present applicant/accused, and they were talking each other for a period of 41747 seconds.",PREMISE
This implicitly shows that arrested accused is having 3 very close relation with the present applicant/accused.,PREMISE
"He further submitted that applicant/accused in his statement stated that he is not having any relations with the accused­Rohit Shende, however fron CDR report and statement of witnesses, it reveals that applicant/ accused is having close relations with arrested accused­Rohit Shende.",PREMISE
He further submitted that Dattatray Dawar­ Junior clerk of Land Records in his statement before Investigating officer specifically stated that applicant/accused asked him to go to office of arrested accused­Rohit Shende and discuss in respect of impugned matter pending before Dy.,PREMISE
Director of Land Records.,PREMISE
"He further submitted that during investigation , it is also disclosed that present applicant/accused asked Shri.",PREMISE
Dattatray Dawar to hand over copy of pending case to accused Rohit Shende before taking its entry in the Outward Register.,PREMISE
He further submitted that section 17­A of Prevention of Corruption Act is not applicable in this matter because this is case involving arrest on spot on charge of accepting and attempting to accept in undue advantage.,PREMISE
"He further submitted that section 17­A is applicable only in case, decision taken by public servant in discharge of official function or duties, but demand and accepting bribe amount not come in purview of discharge of official function and duties.",PREMISE
"He further submitted that custodial interrogation of applicant/accused is necessary to make enquiry with present applicant/accused about how copy of appeal received by arrested accused­Rohit Shende, and how much other persons are involved in the alleged commission of offence.",PREMISE
"On perusing police papers, prima facie, it reveals that on the basis of complaint dated 22/11/2018 lodged by Umesh More, after due verification, on 26/12/2018, raid was carried by ACB, Pune and caught accused­Rohit Shende while accepting bribe amount.",PREMISE
"Moreover, from the police papers, it reveals that during 4 period of September 2018 to 26/12/2018, 477 mobile phone call and 129 messages took place on the mobile phone of arrested accused­ Rohit Shende and present applicant/accused with each other, there was talk took place between them for a period 41747 seconds.",PREMISE
"Moreover, from the statement of Dattatray Dawar, who is working as Junior Clerk of Land Record office, Pune, it reveals that in CTS appeal No.4375/2018, arrested accused­Rohit Shende was not appointed as an Advocate by either party even though he was remaining present in that matter.",PREMISE
"Moreover, Dattatray Dawar in his statement stated that applicant/accused asked him to make discussion with arrested ­accused­Rohit Shende, in respect of impugned matter,and accordingly after 07­30 p.m., one person took him at the office of arrested accused­Rohit Shende, and made discussion about the said matter.",PREMISE
"Thus, from the statement of Dattatray Dawar, prima facie that arrested accused­Rohit Shende was not advocate of either party in impugned matter, but he was in contact with present applicant/accused.",PREMISE
"Moreover, it appears that before taking entry in Outward register, copy of pending work was handed over to accused ­Rohit Shende as per direction of present applicant­accused.",PREMISE
"Therefore, considering Call Detail Record collected by Investigating officer, prima facie it appears that though arrested accused­Rohit Shende is not appointed by either party in CTS appeal No.4375/2018, he was in contact with present applicant/accused.",CONCLUSION
"Moreover, as per prosecution case, arrested­accused­Rohit Shende accepted impugned bribe amount from the complainant as an agent of the present applicant/accused, this act on the part of applicant/accused not come within discharging official function or duties, therefore, section 17­A of the Prevention of Corruption Act is not attracted.",PREMISE
"Moreover, in the present case, prima facie, it reveals that applicant/accused is also invovled in the case, in which co­accused­Rohit Shende was arrested 5 on the spot while accepting bribe amount.",PREMISE
"Therefore, in such circumstances, mandate of previous sanction as per section 17­A of the Prevention of Corruption Act is not applicable to the facts and circumstances of case.",CONCLUSION
"Moreover, it appears that impugned investigation is at very crucial stage.",PREMISE
"It also appears that taking into consideration huge amount of bribe and gravity of offence interrogation of present applicant about how much officers of his department are involved in the alleged commission of offence, is necessary.",PREMISE
"Moreover, facts in case in hand and that of supra cases, on which learned advocate for applicant/accused is relied, are somewhat different.",PREMISE
"Therefore, observations of supra cases are not applicable to the facts and circumstances of the case in hand.",CONCLUSION
"Taking into consideration all above facts, in my view, applicant­accused is not entitled to release on anticipatory bail.",CONCLUSION
"Hence, I pass following order.",CONCLUSION
"2] The prosecution case, in short, is that the complainant Kailas Jamnaji Zalte lodged report to the police station Loni Kand inter alia contending that the accused illtreated his sister Alka physically and mentally by putting her on starvation and has not provided her food in time and kept illicit relations with one unknown lady and thereby abetted her to commit suicide.",PREMISE
She committed suicide on 8-11-2018 by hanging herself.,PREMISE
"On these allegations, report is lodged and offence punishable under sections 498-A, 306 and 323 of the Indian Penal Code came to be registered against the accused and others vide crime No. 1203/18.",PREMISE
3] The contention of the applicant/accused is that the offence levelled against him is not punishable with imprisonment for life or death.,PREMISE
"The applicant has not 2 committed alleged crime, but he has been falsely implicated with ulterior motive.",PREMISE
The marriage of applicant and deceased took place on 27-5-1990.,PREMISE
The presumption under section 113 or 114 is not applicable to the present case as marriage took place before 28 years.,PREMISE
"From the said wedlock, deceased got one son and one daughter.",PREMISE
Son of applicant died in accident and his daughter committed suicide in the year 2010.,PREMISE
"Since then, deceased was under depression and had lost her mental balance.",PREMISE
"The applicant is having his own house at Wagholi, the ground floor of which ws given on rent and rent was collected by the deceased.",PREMISE
"There is no instigation, abetment, intentional aid on the part of present applicant to drive deceased to commit suicide.",PREMISE
The incident took place on 8-11-2018 and complaint was lodged on 13-11-2018.,PREMISE
"There is delay in lodging of F.I.R., which is not explained by prosecution.",PREMISE
The applicant is permanent resident of Pune.,PREMISE
The investigation of the crime is practically completed and custodial interrogation of the applicant is not required.,PREMISE
The applicant is ready to cooperate police machinery for investigation.,PREMISE
The applicant will not tamper with the prosecution evidence.,PREMISE
He is ready to abide by the terms and conditions that may be imposed by this Court.,PREMISE
"Lastly, he prayed to release him on bail.",CONCLUSION
"4] The learned A.P.P. has opposed the application by filing say at Exh.4 on the ground that offence is serious in nature and if he is released on bail, he will pressurize the prosecution witnesses.",PREMISE
"Lastly, he prayed to reject the application.",PREMISE
5] Heard learned A.P.P. for the State.,PREMISE
Heard learned Advocate for accused.,PREMISE
Gone through the record.,PREMISE
"6] In view of these facts, following points arise for determination and findings thereon are recorded against each of them, for the reasons stated below : Points Findings 1.",PREMISE
Whether the accused is entitled for bail ?,PREMISE
Yes.,CONCLUSION
What order ?,PREMISE
As per final order.,CONCLUSION
"7] On perusal of contents of F.I.R., it clearly reveals that the marriage of applicant with deceased was solemnized prior to 30 years.",PREMISE
Say of the prosecution nowhere reveals that further detention of the accused is necessary for further investigation.,PREMISE
Almost investigation 4 is completed.,PREMISE
"The apprehension of the prosecution is only that if he is released on bail, he will pressurize the prosecution witnesses and complainant.",PREMISE
The apprehension of the prosecution can be taken care of by imposing certain stringent conditions.,PREMISE
"Therefore, considering the nature of offence, I find that it is a fit case to exhaust the judicial discretion of bail.",CONCLUSION
"Therefore, it is just and desirable to release the accused on bail by imposing some stringent conditions.",CONCLUSION
"Hence, I proceed to pass the following order :",CONCLUSION
3] The learned Counsel for the applicants submitted that offence u/s. 436 does not attracted as no house is caused mischief by fire or by explosive substance.,PREMISE
Name of Shahbaz Qureshi and Arbaz @ Malang Tundayya Shabbir Qureshi are not mentioned in FIR.,PREMISE
"There was enmity, which is double edged weapon Arbaz Shabbir Qureshi is handicapped by right hand.",PREMISE
Altamez and Arbaz came to be arrested on 08.12.2018 and 11.12.2018 respectively whereas Shahabaz Siraz Qureshi is arrested on 02.01.2019.,PREMISE
There was no reason behind their arrest.,PREMISE
Since last two months they are in jail.,PREMISE
"Practically, investigation is completed.",PREMISE
4] Learned APP Shri.,PREMISE
Salvi submitted that accused are having antecedents on their record.,PREMISE
"Accused Altamez @ Papa is facing 8 crimes, Arbaz Shabbir Qureshi is facing 15 crimes, whereas, Shahabaz Siraz Qureshi is facing 14 crimes, registered with different Police Stations.",PREMISE
Tavera was used in commission of crime.,PREMISE
Still Siraz Qureshi is absconding.,PREMISE
They have committed the crime to create terror in the vicinity.,PREMISE
There was enmity with one Tayade.,PREMISE
Proposal for invoking the provisions of MOCCA Act against the accused persons to CR 3 No. 411/2018 of Khadki Police Station is sent.,PREMISE
"If the applicants are released on bail, they will tamper the prosecution witnesses.",PREMISE
5] Since the arrest of the applicant they are in jail.,PREMISE
Practically the investigation might had completed and charge sheet is yet to be filed.,PREMISE
"Therefore, in my view further custody of the applicant is not required.",PREMISE
"6] If the proposal under MCOC Act is sent against accused for present CR No. 411/2018 under Section 23(1) of MCOC Act and if the prior sanction is granted by Competent Authority, then State may apply for cancellation of bail and may ask their custody for investigation as per provisions of MCOC Act.",PREMISE
"Therefore, when the applicants are entitled for bail, mere sending of proposal under MCOC Act is no ground to reject their bail application.",CONCLUSION
"Hence, order.",CONCLUSION
"2] It is the case of the Prosecution that on 20.11.2018 from 12.30 p.m to 16.30 p.m., the applicant along with other accused persons accosted the complainant, assaulted him with iron rod and belt and took away Rs. 31,000/­ and one mobile phone and also demanded Rs. 2,00,000/­ as extortion money, thereby, committed an offence punishable under Sec/s. 364(A), 394 r.w. 34 of Indian Penal Code, as CR No. 647/2018 with Sinhagad Police Station.",PREMISE
3] The learned Counsel Shri.,PREMISE
Malwiya for the applicant Ganesh submitted that his name does not figure in FIR.,PREMISE
He was arrested on 21.11.2018.,PREMISE
Nothing is recovered from him.,PREMISE
His cash of Rs. 1000/­ is seized from his pocket.,PREMISE
He has no role to play.,PREMISE
Identification parade is conducted by applicant accused is not identified.,PREMISE
There is no material and antecedents against him.,PREMISE
For sufficient period he is behind bar.,PREMISE
Conducting identification parade is itself is change in circumstances.,PREMISE
4] The learned Counsel Shri.,PREMISE
Swami for the applicant Shubham submitted that the complainant and his friend had assaulted the accused Shubham.,PREMISE
He was admitted in hospital.,PREMISE
He was not absconding.,PREMISE
He was arrested on 28.12.2018.,PREMISE
As per story of prosecution deceased was kidnapped on two wheeler and taken round in the whole village is not probable.,PREMISE
Nothing is to be recovered from him.,PREMISE
Most of the investigation is completed and only charge sheet is to be submitted.,PREMISE
He is young.,PREMISE
Salvi for State submitted that name of the accused Ganesh is figured in FIR.,PREMISE
Role of applicants have specifically stated by the witnesses.,PREMISE
There is no change in circumstances.,PREMISE
Charge sheet is yet to be submitted.,PREMISE
Offence is serious one.,PREMISE
"Section 364A of Indian Penal Code prescribed death or life, whereas, Section 394 of Indian Penal Code is prescribed life or 10 years imprisonment.",PREMISE
6] Previous bail application No. 4867/2018 of accused Ganesh Babu Sakat came to be rejected on dt.,PREMISE
In case papers I have not found any documents to show that identification parade is completed and applicant Ganesh is not identified by the victim.,PREMISE
"Therefore, at this stage it is very difficult to hold that there is change in circumstances to entertain this second bail application.",PREMISE
"On the contrary, in the say of police they have specifically mentioned that identification parade is yet to be conducted.",PREMISE
7] From the face of record rather from the statement of victim Dilip Mane it can specifically seen the overt act of the applicant Shubham Shinde.,PREMISE
He had caught hold the caller of Dilip Mane and forcibly took him on motorcycle and taken him to the terrace of building of SRA.,PREMISE
He has also assaulted him by iron rod and belt.,PREMISE
He is prime accused in the present case as per statement of victim.,PREMISE
Investigation is not completed.,PREMISE
Charge is not filed.,PREMISE
Offence is serious one.,PREMISE
Captial punishment is provided for the offence punishable under Section 364A of Indian Penal Code.,PREMISE
"Hence, in my view both applicants are not entitled for bail.",CONCLUSION
"Hence, I proceed to pass the following order.",CONCLUSION
"2] It is the case of prosecution that, on 02/11/2018 at 4.00 p.m. Complainant was carrying four passengers in a rickshaw driven by him at that time one passenger out of them was repeatedly spitting and creating nuisance for other passengers.",PREMISE
"When Complainant asked that passenger not to do so, he picked up quarrel.",PREMISE
"Thereafter, that passenger get down from the rickshaw at Garware Company, Chinchwad.",PREMISE
"Later on when Complainant was doing another trip on the same route, that passenger along with other two persons came on motorcycle.",PREMISE
"Other persons also came there, they abused him and beat him by means of fist and kick blows.",PREMISE
"Blows of iron sickle also given on his head, hands and legs.",PREMISE
They put stones in front of his rickshaw and prohibited him from proceeding ahead.,PREMISE
"Hence, Complainant filed this complaint.",CONCLUSION
"Accordingly, this offence came to be registered.",CONCLUSION
Applicant is arrested on 17/11/2018.,CONCLUSION
"Initially, he was remanded to PCR and now he is in MCR.",CONCLUSION
3] Advocate for the applicant in his argument stated that after delay of 10 days this FIR came to be lodged.,PREMISE
It was lodged against 8 unknown persons.,PREMISE
Name of the applicant is not mentioned in the FIR.,PREMISE
Applicant is arrested only on the ground of suspicion.,PREMISE
Nothing incriminating recovered from him.,PREMISE
Investigation is practically completed.,PREMISE
His further detention in jail is not necessary.,PREMISE
Two co­accused of this crime are already released on bail hence ground of parity is applicable to him.,PREMISE
"Therefore, he may be released on bail.",CONCLUSION
4] Ld. DGP strongly opposed this application.,PREMISE
It is her contention that the offence is serious.,PREMISE
Investigation is not yet completed.,PREMISE
For trifle reason the applicant has taken law in his hand and by forming unlawful assembly assaulted poor rickshawwala.,PREMISE
"In the said assault, this applicant and one Rohit Kurmi made assault by means of sickle on the head, right hand arm and left leg and seriously injured him.",PREMISE
"Therefore, this application may be rejected.",CONCLUSION
5] From 17/11/2018 the applicant is under detention.,PREMISE
"Police already recovered two sickles, two stones, clothes of accused persons and one Bajaj Pulsar Motorcycle.",PREMISE
Nothing remained to be recovered or discovered from him.,PREMISE
His further detention is not necessary.,PREMISE
On the ground of parity he is entitled to be released on bail.,CONCLUSION
"Hence, I pass the following order.",CONCLUSION
It is alleged that father of victim boy aged about 10 years lodged report stating that firstly he married with Vidya Dhumal and victim is his son from first wife Vidya.,PREMISE
After divorce he married with main accused Prajakta.,PREMISE
Applicant no.1 is brother and applicant no.2 is father of main accused.,PREMISE
"Since marriage with main accused Prajakta, first informant, victim and main accused were residing together.",PREMISE
Main accused was mentally and physically harassing victim.,PREMISE
In August­2017 victim told that main accused gave him intoxicating medicine and did something to his private part.,PREMISE
She used to show him obscene videos of Sunny Leoni and threatened to kill him if incident was disclosed.,PREMISE
She was also harassing him by other ways described in First Information Report.,PREMISE
She used to take victim at her parent's house Dist­Ahmednagar where present applicants used to harass victim by assaulting him and fearing him.,PREMISE
They were not providing food to him in time.,PREMISE
They were compelling him to work in their shop and agricultural land.,PREMISE
They were concealing him in toilet and pressurizing him to hear his mother i.e. main accused.,PREMISE
Main accused also filed offence punishable under section 498A of Indian Penal Code against first informant .,PREMISE
3] According to applicants they are falsely implicated in this case.,PREMISE
First Information Report is filed only with malafide intention to pressurize main accused to withdraw all proceedings against first informant.,PREMISE
There is delay in lodging report.,PREMISE
Applicant no.2 is 67 years old and has recently suffered Acute Coronary Syndrome and he is at present under medical treatment.,PREMISE
He underwent coronary artery bypass graft surgery (CABG) on 04.01.2019 and he is advised to take bed rest.,PREMISE
Applicants belongs to reputed family.,PREMISE
"Offence punishable under section 328 of Indian Penal Code, section 12 of POCSO Act are not applicable against them.",PREMISE
"They are resident of Savedi, Ahmednagar.",PREMISE
They have no criminal antecedents.,PREMISE
"Due to levelling of offences punishable under section 328 of Indian Penal Code, under section 12 of POCSO Act and section 23 and 75 of Juvenile Justice Act, they have apprehension in their mind about their arrest.",PREMISE
"So, they prayed to grant protection under section 438 of Code of Criminal Procedure.",CONCLUSION
4] A.P.P. and I.O. objected application on the ground that investigation is in progress.,PREMISE
Main accused Prajakta did not remain present in Hinjawadi Police Station in spite of notice under section 41(1)(a) of Cr.P.C.,PREMISE
Applicants are originally resident of Dist­Nagar and it is necessary to investigate with them together.,PREMISE
Applicants will pressurize victim and witnesses and there is possibility of tampering prosecution evidence and possibility of non­cooperating in investigation process.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
5] From First Information Report and statement of victim role attributed to applicants can be gathered.,PREMISE
"As per statement of victim present applicants were asking him to do agricultural work, they used to beat him.",PREMISE
Applicant no.1 i.e. his uncle was telling him to work in his shop and he was beating him if it was not properly done.,PREMISE
He was also not providing meal to him.,PREMISE
"Other allegations with regard to offence punishable under section 328 of Indian Penal Code, section 12 of POCSO Act are against main accused i.e. his step mother Prajakta.",PREMISE
"6] From documentary evidence filed by applicants, it revealed that they received notice on 12.12.2018, applicant no.2 is advised to take rest due to bypass graft surgery on 04.01.2019.",PREMISE
"Moreover, main accused Priyanka filed case under section 498A of Indian Penal Code and application under Domestic Violence Act against first informant.",PREMISE
N.C. case is also filed by her.,PREMISE
About incident which took place before August­2017 report is filed on 19.11.2018.,PREMISE
No specific date of incident with regard to present applicants is mentioned.,PREMISE
"In such circumstances, considering medical ground of applicant no.2 and allegations against both applicants, custodial interrogation with them is not required.",PREMISE
"They are permanently resident of Savedi, Dist­ Ahmednagar, they have no criminal antecedents.",PREMISE
"7] Due to levelling of offences punishable under section 328 of Indian Penal Code and under section 12 of POCSO Act and section 23 and 75 of Juvenile Justice Act, apprehension in their mind is reasonable.",PREMISE
Statement of victim is already recorded.,PREMISE
Statement of victim does not show that these applicants insisted him to hear words of main accused.,PREMISE
It appears that various proceedings are pending between main accused and first informant.,PREMISE
"Therefore, as there is no necessity of custodial interrogation, if some strict conditions are imposed regarding attendance, it will suffice the purpose.",CONCLUSION
There is nothing on record to show breach of material condition by applicants.,PREMISE
"In view of all above reasons and due to apprehension in the mind of applicants, it is proper to grant protection to applicants.",CONCLUSION
"Therefore, following order is passed ­",CONCLUSION
2] The crime has been registered on report of Sneha Barate.,PREMISE
"She alleged that, she knows accused Chetan Barate as he helped her in performing love marriage with Santosh Bhavsar.",PREMISE
"However, after marriage with Bhavsar, she came to know that, he is criminal minded.",PREMISE
"Therefore, in 2010 she obtained divorce.",CONCLUSION
"But during that period, there was friendship between accused Chetan and her.",PREMISE
Accused Chetan assured her for marriage.,PREMISE
"Therefore, she started residing with him like his wife.",CONCLUSION
"She alleged that, in the year 2014 as there was no marriage between Chetan and her, the first abortion was taken place due to insistence of Chetan.",PREMISE
In 2016 she married with accused Chetan.,PREMISE
"She again got pregnant, but accused Chetan made her to abort.",PREMISE
"She alleged that, accused Chetan used to ill­treat by abusing, threatening and beating.",PREMISE
"Thereafter, Chetan made her to reside with her parents at Shukrawar Peth, Pune and started avoiding her.",PREMISE
"Thereafter, she came to know that, accused Chetan has performed marriage with Applicant No. 2 Snehal and concealed this fact from her.",PREMISE
"As such, she lodged report against accused Chetan and present Applicants.",PREMISE
"3] Applicants submit that, they have no role in the alleged crime.",PREMISE
"Applicant No. 1 is mother and Applicant No. 2 is wife of accused Chetan, therefore, Informant made them as accused.",PREMISE
No role has been attributed to them.,PREMISE
Accused Chetan is already arrested.,PREMISE
"Applicants submit that, they are ladies.",PREMISE
No recovery is pending against them.,PREMISE
"Therefore, they may be protected by granting Interim Anticipatory Bail.",CONCLUSION
4] Heard learned Adv. S. T. Zalte for Applicants.,PREMISE
Perused the FIR and Papers.,PREMISE
"5] Prima facie, the main allegations are against accused Chetan who is behind the bars.",PREMISE
No specific role is attributed to present Applicants.,PREMISE
"Moreover, both the Applicants are ladies having roots in the society.",PREMISE
"No immediate recovery is pending, hence, immediate custody of the Applicants is not necessary.",PREMISE
"Hence, I prefer to pass following Order.",CONCLUSION
[2] Perused the say given by the respondent.,PREMISE
[3] Heard learned advocate Mr. Swami for the applicant / accused and learned APP Mr. Aurangabadkar for the respondent.,PREMISE
"[4] Learned advocate Mr. Swami for the applicant argued that as per the FIR, it is alleged that the applicant and her husband made false representation with the finance company and availed loan more than the price of the machinery they purchased.",PREMISE
"It is alleged that the applicant and her husband had forged the documents, cheated the complainant and submitted forged documents to show that they had paid 20 % of the price to the concerned company and obtained more loan, utilized the said amount for their own use, committed default in payment of EMIs.",PREMISE
"The learned advocate argued that though the applicant is the proprietor of the firm, the entire business of the firm was looked after by her husband Ganpat Patil, who is already arrested by the police and needful documents are already recovered by the police and, therefore, there is no need of custodial interrogation of the applicant / accused and her application may be allowed for anticipatory bail.",PREMISE
"[5] Per­contra, learned APP for the State argued that the firm is the proprietary firm and, the applicant was the proprietor of the firm.",PREMISE
She had accompanied her husband when the alleged false representation was made.,PREMISE
She had every knowledge and she had played active role in commission of the crime.,PREMISE
He prayed for rejection of the application.,CONCLUSION
"[6] Prima­facie, from the investigation papers produced for my perusal, it is clear that the accused / applicant is the proprietor of the Mahalaxmi Industries and she along with her husband Ganpat Patil, made false representation, quoted price of the machine to be purchased as Rs.82,60,000/­, whereas they purchased the machine amounting to Rs.47,60,922/­.",PREMISE
"As per the policy of the company, the finance company had asked the applicant and her husband to deposit 20 % of the price of the machine with the seller and accused / applicant with her husband fabricated the documents and submitted bogus documents suggesting that they had deposited Rs.20,60,000/­ with the seller.",PREMISE
The submission of the learned advocate for the applicant / accused cannot be accepted that the applicant was not aware of the transaction and the entire business was being looked after by her husband.,PREMISE
"Admittedly, she is the proprietor of the company.",PREMISE
She cannot avoid the responsibility of the said transaction.,PREMISE
"Having regard to the nature of the offence and the grounds put forth by respondent in their say while praying for rejection of the application, I find that for proper investigation the custodial interrogation of the applicant / accused is necessary.",PREMISE
"Hence, I pass the following order.",CONCLUSION
It is alleged by informant Dhananjay Bhujbal that on 17.12.2018 at around 15.15 hrs.,PREMISE
"near R.B.Gujar College, Talegaon Dhamdhere as Kho-Kho Tournament was organized at Talegaon Dhamdhere.",PREMISE
"While informant along with Prathamesh Phulkaware, Chakradhar Phulaware, Anup Gore were proceeding towards Talegaon Dhamdhere.",PREMISE
At the relevant time on account of previous rivalry the accused Rakesh Shelar and Rohan Shelar assaulted informant with wooden log as well as accused Ajay Zhende assaulted by iron pipe on left hand of informant as well as with wooden log to Prathemesh.,PREMISE
"Accused Lalya Shelar assaulte dChakradhar Phulaware by means of rod and accused Vilas Kolhe by means of stick, as well as accused Prashant Shelar to Anup Gore by means of pipe on knee.",PREMISE
"In short at the relevant time accused along with 7 to 8 unknown persons illegally gathered along with dangerous weapons like wooden stick, iron pipe, iron rod with intention to kill the informant and others; so also assaulted the informant and other witnesses.",PREMISE
It is further alleged that accused dragged the iformant and Anup Gore from motorcycle and also tried to drive car having registration 12-FU-0131 on informant and Anup Gore's person and abused in filthy language and assaulted informant and Anup Gore and attempted to commit murder.,PREMISE
By this application applicants contend that F.I.R. is completely vague and there are no specific allegations against these applicants.,PREMISE
"Even if case of prosecution taken to be true, the offence cannot be made out against the applicants.",PREMISE
The applicants are falsely implicated in this crime.,PREMISE
Even though informant was not admitted in the hospital.,PREMISE
Applicants are falsely implicated in this crime.,PREMISE
They are ready to abide the conditions imposed by the court.,PREMISE
"Thus, applicants prayed for grant of anticipatory bail.",CONCLUSION
In response to the show cause notice prosecution filed its say vide Exh. 7 in Bail Appln.No.,PREMISE
5407/2018 thereby denied all adverse allegations and reiterated its case.,PREMISE
It is contended that the weapons used in crime and the car are yet to be seized.,PREMISE
The absconding accused are to be arrested.,PREMISE
Applicants will pressurize the witnesses.,PREMISE
"Previously there was quarrel between accused and informant, therefore, again there are chances of commission of serious offence.",PREMISE
Investigation is in progress.,PREMISE
"Thus, prosecution prayed for rejection of the application.",CONCLUSION
Perused case diary and all relevant papers.,PREMISE
It appears that there are grounds for believing that information is well founded against the accused.,PREMISE
Perused statement of the informant and other injured person.,PREMISE
It clearly indicates common intention and active role played by the accused with weapons in this crime.,PREMISE
Perused injury certificates.,PREMISE
It appears that informant and other witnesses had sustained grievous as well simple injuries.,PREMISE
It further appears crime weapons and car used in commission of crime are yet to be recovered.,PREMISE
"Considering conduct and attitude of the accused, custodial interrogation of the applicant accused is necessary.",PREMISE
"Therefore, I find much substance in the submission of Ld.A.P.P.",CONCLUSION
"Certainly, object of arrest in the present case is not to humiliate the applicants.",PREMISE
"Bail is rule, however, anticipatory bail is not the rule.",PREMISE
It is extra ordinary power of the court to be used springly with circumspection.,PREMISE
The matter need thorough investigation and that can be done only by custodial interrogation of the applicant.,PREMISE
"Therefore, I am inclined to use my discretion in favour of the applicant and pass the following order.",CONCLUSION
"2] It is the case of prosecution that, Complainant Farook Ambir Mulla Police Naik of Crime Branch, Unit no.2, Pimpri Chinchwad, filed complaint alleging therein that on 04/12/2018 at 00.40 hours near compound wall of Narmada Garden Lawns, applicant along with other persons found in possession of incriminating articles and they were in preparation of committing dacoity at Shree Jewellers hence applicants were arrested by Sangavi police station on 04/12/2018.",PREMISE
